category_id	category_text
17027494	住宅和花园
17028732	住宅和花园 > 炊具
970735929	住宅和花园 > 炊具 > 手动咖啡机
92470	住宅和花园 > 炊具 > 烘焙和烘烤盘
970982073	住宅和花园 > 炊具 > 上餐服务盖
92467	住宅和花园 > 炊具 > 研钵和研杵
92534	住宅和花园 > 炊具 > 法式压榨机
92466	住宅和花园 > 炊具 > 厚底煎锅
92450	住宅和花园 > 炊具 > 小烧锅
92448	住宅和花园 > 炊具 > 厨房勺子
970877820	住宅和花园 > 炊具 > 水壶哨子
970845451	住宅和花园 > 炊具 > 烤鸡机
970941708	住宅和花园 > 炊具 > 用于制作咖啡的沙子
92465	住宅和花园 > 炊具 > 蒸汽榨汁机
970873474	住宅和花园 > 炊具 > 烧烤架压盖
92444	住宅和花园 > 炊具 > 火盆
92458	住宅和花园 > 炊具 > 电蒸机
92468	住宅和花园 > 炊具 > 塔吉锅
92457	住宅和花园 > 炊具 > 火锅套餐
92469	住宅和花园 > 炊具 > 土耳其咖啡壶
92443	住宅和花园 > 炊具 > 焖鸭锅
92454	住宅和花园 > 炊具 > 盖子
970884549	住宅和花园 > 炊具 > 小铁罐
970895078	住宅和花园 > 炊具 > 蒸锅
971152780	住宅和花园 > 炊具 > 茶炊备件
970686150	住宅和花园 > 炊具 > 手冲咖啡过滤杯
92452	住宅和花园 > 炊具 > 炊具套装
92474	住宅和花园 > 炊具 > 开水壶
92461	住宅和花园 > 炊具 > 茶炊
92447	住宅和花园 > 炊具 > 锅
92446	住宅和花园 > 炊具 > 大锅
92441	住宅和花园 > 炊具 > 炒锅
98016	住宅和花园 > 炊具 > 奶锅
92464	住宅和花园 > 炊具 > 压力锅
504866266	住宅和花园 > 炊具 > 虹吸管，用于冲泡茶和咖啡
92497	住宅和花园 > 炊具 > 咖啡壶
970863809	住宅和花园 > 炊具 > 烤石
92442	住宅和花园 > 炊具 > 烤箱罐子
971025242	住宅和花园 > 炊具 > 咖啡冲泡套件
970840809	住宅和花园 > 炊具 > 马克杯， 杯子， 玻璃盖 
92460	住宅和花园 > 炊具 > 烤盘
92453	住宅和花园 > 炊具 > 间歇泉咖啡机
92462	住宅和花园 > 炊具 > 煎锅
17028731	住宅和花园 > 床上用品
92606	住宅和花园 > 床上用品 > 枕头套
92612	住宅和花园 > 床上用品 > 床单
971086160	住宅和花园 > 床上用品 > 被子厚布套
92603	住宅和花园 > 床上用品 > 床上用品套装
970862445	住宅和花园 > 床上用品 > 床垫支撑架
970623351	住宅和花园 > 床上用品 > 床单、被子固定器
92609	住宅和花园 > 床上用品 > 床垫套
92607	住宅和花园 > 床上用品 > 装饰枕套
970665432	住宅和花园 > 床上用品 > 后布套
92610	住宅和花园 > 床上用品 > 被套
17028712	住宅和花园 > 镜子
93364	住宅和花园 > 镜子 > 浴室镜 
93366	住宅和花园 > 镜子 > 车内后视镜
17028724	住宅和花园 > 泡澡桶、植物熏蒸舱、红外桑拿房
971067131	住宅和花园 > 泡澡桶、植物熏蒸舱、红外桑拿房 > 理疗用桶
970836179	住宅和花园 > 泡澡桶、植物熏蒸舱、红外桑拿房 > 洗浴场
96088	住宅和花园 > 泡澡桶、植物熏蒸舱、红外桑拿房 > 红外线桑拿零件
96087	住宅和花园 > 泡澡桶、植物熏蒸舱、红外桑拿房 > 红外线桑拿
78833978	住宅和花园 > 池塘用品
970699235	住宅和花园 > 池塘用品 > 池塘泵
970694284	住宅和花园 > 池塘用品 > 池塘撇油器
970684991	住宅和花园 > 池塘用品 > 池塘过滤器
970684990	住宅和花园 > 池塘用品 > 池塘曝气器
970969696	住宅和花园 > 池塘用品 > 池塘膜
970731397	住宅和花园 > 池塘用品 > 冬季鱼塘设备
