category_id	category_text
90402	Vehicle
90403	Vehicle > Audio and video equipment
90404	Vehicle > Audio and video equipment > Car radios
90407	Vehicle > Audio and video equipment > Antennas
71189397	Vehicle > Audio and video equipment > Antennas > Automotive antennas
71190459	Vehicle > Audio and video equipment > Antennas > Accessories for car antennas
90408	Vehicle > Audio and video equipment > Amplifiers
90409	Vehicle > Audio and video equipment > Accessories
71789541	Vehicle > Audio and video equipment > Accessories > Adapters, adapters, connectors for audio equipment
71792741	Vehicle > Audio and video equipment > Accessories > Accessories for audio and video equipment
71795940	Vehicle > Audio and video equipment > Accessories > Audio processors
71799140	Vehicle > Audio and video equipment > Accessories > Food Distributors
71802340	Vehicle > Audio and video equipment > Accessories > Cables for car audio equipment
71805536	Vehicle > Audio and video equipment > Accessories > Capacitors for car audio equipment
71808732	Vehicle > Audio and video equipment > Accessories > Controllers and remotes for car audio equipment
71811930	Vehicle > Audio and video equipment > Accessories > Fasteners for car audio equipment
71815126	Vehicle > Audio and video equipment > Accessories > Crossovers for car audio equipment
71818322	Vehicle > Audio and video equipment > Accessories > Braids for car audio cables
71821520	Vehicle > Audio and video equipment > Accessories > Repair kit for car acoustics
71824724	Vehicle > Audio and video equipment > Accessories > Power filters for car audio equipment
71827926	Vehicle > Audio and video equipment > Accessories > Automotive Changers
71831124	Vehicle > Audio and video equipment > Accessories > Car Radio Screen
90417	Vehicle > Audio and video equipment > Car TVs
289012	Vehicle > Audio and video equipment > Acoustic boxes and podiums
308016	Vehicle > Audio and video equipment > Car acoustics
71766360	Vehicle > Audio and video equipment > Car acoustics > Car speakers
71767434	Vehicle > Audio and video equipment > Car acoustics > Car subwoofers
6122737	Vehicle > Audio and video equipment > FM transmitters
7717599	Vehicle > Audio and video equipment > Transitional framework
9335976	Vehicle > Audio and video equipment > Isolation
90428	Vehicle > Auto chemistry and car care products
90475	Vehicle > Auto chemistry and car care products > Cabin fresheners
71836468	Vehicle > Auto chemistry and car care products > Cabin fresheners > Accessories for car interior fragrance
71838620	Vehicle > Auto chemistry and car care products > Cabin fresheners > Car flavors
14368663	Vehicle > Auto chemistry and car care products > Body care products
90429	Vehicle > Auto chemistry and car care products > Body care products > Car body polishes and pastes
71063406	Vehicle > Auto chemistry and car care products > Body care products > Car body polishes and pastes > Abrasive and polishing pastes
71064531	Vehicle > Auto chemistry and car care products > Body care products > Car body polishes and pastes > Auto Chemistry Kits
71065657	Vehicle > Auto chemistry and car care products > Body care products > Car body polishes and pastes > Car body coverings
71066778	Vehicle > Auto chemistry and car care products > Body care products > Car body polishes and pastes > Car body polishes
71067900	Vehicle > Auto chemistry and car care products > Body care products > Car body polishes and pastes > Car scratch repair tools
90430	Vehicle > Auto chemistry and car care products > Body care products > Car shampoos and foams
90431	Vehicle > Auto chemistry and car care products > Body care products > Car body cleaners
90484	Vehicle > Auto chemistry and car care products > Body care products > Rust converters
90488	Vehicle > Auto chemistry and car care products > Body care products > Rust preventatives
14368679	Vehicle > Auto chemistry and car care products > Body care products > Car wash accessories
71490153	Vehicle > Auto chemistry and car care products > Body care products > Car wash accessories > Water pumps for cars
71492071	Vehicle > Auto chemistry and car care products > Body care products > Car wash accessories > Sponges and brushes for car washing
71493989	Vehicle > Auto chemistry and car care products > Body care products > Car wash accessories > Brushes for car detailing
71495907	Vehicle > Auto chemistry and car care products > Body care products > Car wash accessories > Wipes for car washing
14368689	Vehicle > Auto chemistry and car care products > Body care products > Waxes
14368693	Vehicle > Auto chemistry and car care products > Body care products > Anti-gravel
14369113	Vehicle > Auto chemistry and car care products > Salon care products
71688734	Vehicle > Auto chemistry and car care products > Salon care products > Liquid skins for car interior
71690583	Vehicle > Auto chemistry and car care products > Salon care products > Air conditioners for the car interior
71692431	Vehicle > Auto chemistry and car care products > Salon care products > Car Interior Care Kits
71694279	Vehicle > Auto chemistry and car care products > Salon care products > Car Interior Cleaners
14369211	Vehicle > Auto chemistry and car care products > Care products for windows and headlights
14201356	Vehicle > Auto chemistry and car care products > Care products for windows and headlights > Windshield washer fluid
14369214	Vehicle > Auto chemistry and car care products > Care products for windows and headlights > Anti Rain
14369215	Vehicle > Auto chemistry and car care products > Care products for windows and headlights > Anti-fog car product
14369216	Vehicle > Auto chemistry and car care products > Care products for windows and headlights > Cleaners
14369311	Vehicle > Auto chemistry and car care products > Care products for windows and headlights > Polishes
14369377	Vehicle > Auto chemistry and car care products > Tire and disc care product
14369423	Vehicle > Auto chemistry and car care products > Tire and disc care product > Cleaners and polishes
71840772	Vehicle > Auto chemistry and car care products > Tire and disc care product > Cleaners and polishes > Tire and disc cleaners
71841371	Vehicle > Auto chemistry and car care products > Tire and disc care product > Cleaners and polishes > Tire polishes
14369455	Vehicle > Auto chemistry and car care products > Tire and disc care product > Kits and sealants
71364811	Vehicle > Auto chemistry and car care products > Tire and disc care product > Kits and sealants > Tire repair sealants
71365991	Vehicle > Auto chemistry and car care products > Tire and disc care product > Kits and sealants > Tire repair harnesses
71367165	Vehicle > Auto chemistry and car care products > Tire and disc care product > Kits and sealants > Tire repair patches
71368339	Vehicle > Auto chemistry and car care products > Tire and disc care product > Kits and sealants > Tire repair adhesives
71369513	Vehicle > Auto chemistry and car care products > Tire and disc care product > Kits and sealants > Tire repair mastics
71370688	Vehicle > Auto chemistry and car care products > Tire and disc care product > Kits and sealants > Tire repair pastes
71371862	Vehicle > Auto chemistry and car care products > Tire and disc care product > Kits and sealants > Tire repair spikes
14369537	Vehicle > Auto chemistry and car care products > Adhesives, sealants and fixatives
90483	Vehicle > Auto chemistry and car care products > Adhesives, sealants and fixatives > Adhesives and sealants
71091043	Vehicle > Auto chemistry and car care products > Adhesives, sealants and fixatives > Adhesives and sealants > Automotive Adhesion Activators
71092140	Vehicle > Auto chemistry and car care products > Adhesives, sealants and fixatives > Adhesives and sealants > Automotive sealants
71093237	Vehicle > Auto chemistry and car care products > Adhesives, sealants and fixatives > Adhesives and sealants > Automotive adhesives
14369538	Vehicle > Auto chemistry and car care products > Adhesives, sealants and fixatives > Adhesives for glass
71841970	Vehicle > Auto chemistry and car care products > Adhesives, sealants and fixatives > Adhesives for glass > Tools for gluing car windows
71842287	Vehicle > Auto chemistry and car care products > Adhesives, sealants and fixatives > Adhesives for glass > Auto glass repair and gluing kits
14369567	Vehicle > Auto chemistry and car care products > Adhesives, sealants and fixatives > Fxatives
14369608	Vehicle > Auto chemistry and car care products > Technical cleaners
14369611	Vehicle > Auto chemistry and car care products > LKM
90432	Vehicle > Auto chemistry and car care products > LKM > Paints and coatings
14369617	Vehicle > Auto chemistry and car care products > LKM > Paints and coatings > Paints
71433805	Vehicle > Auto chemistry and car care products > LKM > Paints and coatings > Paints > Containers for car paint
71434886	Vehicle > Auto chemistry and car care products > LKM > Paints and coatings > Paints > Liquids and materials for body repair
71435969	Vehicle > Auto chemistry and car care products > LKM > Paints and coatings > Paints > Car paints
71437050	Vehicle > Auto chemistry and car care products > LKM > Paints and coatings > Paints > Car Scratch Repair Kits
71438131	Vehicle > Auto chemistry and car care products > LKM > Paints and coatings > Paints > Car Paint Pigment
16729315	Vehicle > Auto chemistry and car care products > LKM > Paints and coatings > coatings
90433	Vehicle > Auto chemistry and car care products > LKM > Putties
90434	Vehicle > Auto chemistry and car care products > LKM > Primer
90435	Vehicle > Spare parts
90437	Vehicle > Spare parts > Engine
70942202	Vehicle > Spare parts > Engine > Automotive engines
70954320	Vehicle > Spare parts > Engine > Cylinder-piston group spare parts
70966439	Vehicle > Spare parts > Engine > Engine supports and gearboxes
70978558	Vehicle > Spare parts > Engine > Other engine parts
70990676	Vehicle > Spare parts > Engine > Drive belts
71002794	Vehicle > Spare parts > Engine > Engine ventilation system
71014912	Vehicle > Spare parts > Engine > Engine intake system
71027037	Vehicle > Spare parts > Engine > Engine timing system
71039163	Vehicle > Spare parts > Engine > Engine cooling system
71051282	Vehicle > Spare parts > Engine > Engine lubrication system
90439	Vehicle > Spare parts > Steering control
71470516	Vehicle > Spare parts > Steering control > Automotive Steering Parts
71474443	Vehicle > Spare parts > Steering control > Steering wheel
71478371	Vehicle > Spare parts > Steering control > Steering mechanisms
71482298	Vehicle > Spare parts > Steering control > Power steering pumps and tanks
71486226	Vehicle > Spare parts > Steering control > Steering rods and tips
90440	Vehicle > Spare parts > Electrics
71220512	Vehicle > Spare parts > Electrics > Automotive on-board computers
71230970	Vehicle > Spare parts > Electrics > Automotive sensors
71241431	Vehicle > Spare parts > Electrics > Power windows
